Fid,Gender,Age,Digital_Material,Author,Latitude,Longitude,Used_Device,Education_Level,Label
10.42.0.151-104.244.43.195-58064-443-6,Female,19,Don Quixote,Miguel de Cervantes,26.27928519,-98.36537545,Computer,College,1
10.42.0.42-14.17.42.57-59338-80-6,Female,17,Alice's Adventures in Wonderland,Lewis Carroll,38.08505444,-83.12964837,Mobile,School,0
172.217.11.35-10.42.0.151-443-46314-6,Male,21,The Adventures of Huckleberry Finn,Mark Twain,42.29319444,-71.60427503,Mobile,University,1
10.42.0.211-106.11.15.99-55926-443-6,Male,17,The Adventures of Tom Sawyer,Mark Twain,47.77923298,-104.2936873,Mobile,School,1
172.217.12.206-10.42.0.151-443-42779-6,Female,19,Treasure Island,Robert Louis Stevenson,46.57053526,-105.6566159,Mobile,College,0
10.42.0.151-10.42.0.1-29936-53-17,Male,17,Pride and Prejudice,Jane Austen,48.50233693,-109.5430541,Mobile,School,1
10.42.0.42-103.43.91.8-41156-443-6,Female,17,Wuthering Heights,Emily Bront‰,39.04019281,-95.62405796,Mobile,School,0
10.42.0.42-62.138.0.117-34863-80-6,Male,21,Jane Eyre,Charlotte Bront‰,45.69877314,-105.8889101,Mobile,University,0
192.229.163.180-10.42.0.211-443-44480-6,Female,21,Moby Dick,Herman Melville,48.95258061,-109.4466988,Mobile,University,1
10.42.0.211-104.24.19.3-38918-80-6,Female,21,The Scarlet Letter,Nathaniel Hawthorne,36.06877917,-79.11266314,Mobile,University,1
10.42.0.211-23.194.108.108-54658-443-6,Female,17,Gulliver's Travels,Jonathan Swift,48.80258003,-110.2874491,Mobile,School,0
151.101.21.140-10.42.0.211-443-56696-6,Female,17,The Pilgrim's Progress,John Bunyan,45.22576505,-104.9172308,Computer,School,1
10.42.0.211-10.42.0.1-34682-53-17,Male,17,A Christmas Carol,Charles Dickens,48.58301618,-108.6592276,Mobile,School,0
10.42.0.211-10.42.0.1-28333-53-17,Male,17,David Copperfield,Charles Dickens,47.15496454,-109.6210251,Mobile,School,1
10.42.0.42-37.1.203.158-43380-443-6,Female,21,A Tale of Two Cities,Charles Dickens,45.83912024,-111.0351859,Mobile,University,0
220.243.219.55-10.42.0.211-80-56695-6,Male,19,Little Women,Louisa May Alcott,41.411963,-99.64341086,Mobile,College,1
